CNV_gene,Zvalue,p.value,p.adj
ARHGEF10,3.10398039560915,0.00190935982193707,0.00455812859452625
PCM1,2.61672501568218,0.00887778288431385,0.0184764113874395
EGR3,2.78811848326638,0.00530151504917376,0.0116299001303947
LEPROTL1,2.99412004987098,0.00275237624676872,0.00627411801126639
NRG1,2.81442514216682,0.00488645568300083,0.0108662279343443
FGFR1,4.37216150916725,1.23022461204769e-05,4.6806202036502e-05
ANK1,4.96314109674863,6.93621541980605e-07,3.48240918499541e-06
HOOK3,5.12579632052639,2.96282774536749e-07,1.51883906525681e-06
SOX17,4.79332402912319,1.64040349881489e-06,7.32914223782433e-06
PREX2,4.82758349240283,1.38199754529111e-06,6.34936608072427e-06
NCOA2,4.54653934482688,5.45351790481874e-06,2.19492828069977e-05
HEY1,4.91595362281214,8.83513134208869e-07,4.30270896359719e-06
CNBD1,4.44263187185068,8.88651343688984e-06,3.43470797124234e-05
CDH17,3.69565535370657,0.000219320321954264,0.000632005898175896
PABPC1,3.48120342536781,0.000499166228772774,0.00135052196340189
UBR5,3.45660979759598,0.000547016309218051,0.00145572099775514
RSPO2,3.34550110231451,0.000821340327175957,0.00208329551736818
EIF3E,3.38152898689562,0.000720836271009162,0.00185739293111885
CSMD3,3.25946985859875,0.00111620640377064,0.00275935288647868
RAD21,3.09804060999465,0.00194804732246978,0.00462780022459894
MYC,3.03295928672499,0.00242168269897403,0.00558938139526233
NDRG1,2.80259511875742,0.00506932653373071,0.011221645554213
LARP4B,-2.35739914008766,0.0184034539010411,0.0367314838106844
ZEB1,-2.75077558418382,0.00594543585699034,0.012811625054665
KIF5B,-3.03895754203495,0.0023739830927294,0.00553172136918285
RET,-2.60354187119928,0.00922659966582323,0.0191206554776847
NCOA4,-2.78512642961984,0.00535068556059522,0.0116851294529591
A1CF,-2.70240286696362,0.00688402951710592,0.0145761842383938
CCDC6,-3.2958592723957,0.000981211530464687,0.00245051289916053
ARID5B,-3.46654973211856,0.00052718419929697,0.00141065222559134
NUTM2D,-3.78635361512769,0.000152874085232282,0.000453961460415375
PTEN,-3.32964224927855,0.000869576331812212,0.0021829055339822
FAS,-3.65418241693097,0.000258002793411313,0.000732733172848835
CPEB3,-3.91510906347939,9.03633512785055e-05,0.000282095846619437
CYP2C8,-3.90718003599906,9.33795758986537e-05,0.000289655117596461
SMC3,-2.98920170622255,0.00279707413921709,0.00633569816650569
VTI1A,-3.50406858502587,0.000458207331302453,0.00124663111924187
TCF7L2,-3.45351924361139,0.000553322824156817,0.00146450117045853
FGFR2,-3.51833553826391,0.000434262896168105,0.00119483633013484
MGMT,-3.37668377173272,0.000733653442691012,0.00188046961363433
HRAS,-3.08413906898335,0.00204142145097855,0.0048260788671192
MUC6,-2.87622137857277,0.0040246733379958,0.00899089869543098
WT1,-2.38107988189272,0.0172619682230594,0.034737927787727
EED,4.102685765787,4.08381728091989e-05,0.000134379663230269
FAT3,4.78358396384358,1.72196912040512e-06,7.6236269239754e-06
PGR,5.07010057525193,3.97605531388123e-07,2.01701972693767e-06
ATM,5.35501196694586,8.55507549246681e-08,4.52861061394711e-07
KMT2A,5.29251345816191,1.20646588053219e-07,6.25052004062955e-07
BCL9L,4.9531835243595,7.30090564005081e-07,3.62810310888239e-06
FLI1,4.88062290628896,1.05751282464261e-06,5.04910534902895e-06
ERC1,2.73243816763733,0.00628674706174892,0.0134874265157345
CHD4,3.1914539753768,0.00141558662306807,0.00346427480117662
ETV6,3.52015682363422,0.00043129171029177,0.00119340376654598
CDKN1B,3.91818358492163,8.92187462542271e-05,0.000280319544682636
ATF7IP,3.51488922755599,0.000439937453314387,0.00120364909979835
KRAS,3.88492069198008,0.000102363298028374,0.000313527837357347
ARID2,4.09735182654324,4.17903497866856e-05,0.000136589935208831
COL2A1,4.30491845692595,1.67047254426844e-05,6.21007732105902e-05
KMT2D,4.17491303810332,2.98099904458837e-05,0.000103696181051038
PRPF40B,4.23068516212145,2.32980572620889e-05,8.34276021076271e-05
SMARCD1,4.12243715022352,3.74884912366369e-05,0.000125047227618097
ATF1,4.14597933438691,3.38364345591202e-05,0.00011591370305506
ACVR1B,4.03345144943148,5.49635408115812e-05,0.000173813275163896
ERBB3,3.86329468630567,0.000111867920475683,0.000336294304146036
GLI1,3.47425936938473,0.000512265602478523,0.00137830579230409
DDIT3,3.39005916318022,0.000698775412759645,0.00181012567028695
CDK4,3.40534750095325,0.000660799087431663,0.00172090457528995
LRIG3,3.86420948798269,0.000111449544031306,0.000336294304146036
MDM2,3.65070775059876,0.000261518677611372,0.000736182635819296
PTPRB,4.14463013838923,3.40362618826973e-05,0.00011591370305506
USP44,3.87455028995275,0.000106821782681177,0.000325138801035832
PTPN11,3.3353600565749,0.000851890194725646,0.00214958821156161
TBX3,3.03453476023121,0.00240906992460088,0.0055867478727649
HNF1A,2.75323311130821,0.00590098620085766,0.0127723567991897
SETD1B,2.62850907344637,0.00857600675871617,0.0179249583325956
NCOR2,2.72942345161049,0.00634451768899491,0.0135516671690374
POLE,2.71714104286125,0.00658485399398256,0.0140035977950634
ZMYM2,2.76068882465696,0.00576796041923511,0.0125401639471763
LATS2,2.51084723299457,0.0120441806040312,0.0246450250174925
FLT3,2.79885055247137,0.00512848676356104,0.0113012355378019
BRCA2,2.53514347849325,0.0112401278037668,0.023096802702255
PDS5B,2.36254977533646,0.0181497039561582,0.0363740980520537
DACH1,2.25772070229176,0.0239630777150108,0.0470565276097188
GPC5,3.07683963781464,0.0020920781695104,0.00492194236015249
CHD8,3.76367883613049,0.000167431890108594,0.000491200786041476
AJUBA,4.09276095486398,4.26267101245603e-05,0.000138394718871072
ARHGAP5,4.45658163614983,8.32768970071562e-06,3.24446790739881e-05
BAZ1A,4.64648295865016,3.37642011327688e-06,1.40539879928704e-05
NKX2_1,4.55561136095553,5.2233433642801e-06,2.11980684867034e-05
FOXA1,4.32405495561793,1.53187109575015e-05,5.73862479715632e-05
KTN1,3.90512922803592,9.41750462233326e-05,0.000290273718422551
HIF1A,3.22378623571967,0.00126507796657904,0.00311158065517169
MAX,2.99360739200681,0.00275700462918071,0.00627411801126639
ZFP36L1,3.44941429038076,0.000561804045925429,0.00147891119116586
TSHR,4.04047403394894,5.33432711620208e-05,0.000172023099874897
ATXN3,4.19598377219964,2.71689700432898e-05,9.58789015295806e-05
GOLGA5,4.34670824443316,1.3819584423036e-05,5.21716094109963e-05
DICER1,4.21908174402106,2.45299330918769e-05,8.71976453703945e-05
TRAF3,4.75112622779023,2.02286799377838e-06,8.71802400858469e-06
AKT1,4.77068640256251,1.83599191827533e-06,8.05520778558634e-06
BRD7,3.5514213283188,0.000383156519531358,0.00107239784489524
CYLD,3.71930636612605,0.000199770626318152,0.000582323997001573
NUP93,3.35956953361683,0.000780640037511882,0.00199042773962454
HERPUD1,3.42475784161532,0.000615347630450902,0.00161115212919134
CBFB,3.11966495512761,0.00181056852555095,0.00436508352447184
CTCF,3.16330596140794,0.00155988298327059,0.00379831506426388
CDH1,3.12234449142257,0.00179416862853721,0.00434706528406776
ZFHX3,2.43431361596053,0.0149200616230853,0.0304019665708894
RFWD3,2.65449671369575,0.00794268132495901,0.0166727836433407
NF1,-2.39253370677531,0.0167324910845253,0.0338121292869868
ARHGAP35,-10.4194927284394,2.02027837911249e-25,2.52275787340457e-24
GRIN2D,-10.4087342141472,2.26209312212129e-25,2.75409837618267e-24
BAX,-10.6071337047913,2.76088954782056e-26,3.84158059939604e-25
BCL2L12,-10.2831975392061,8.38970961731474e-25,9.72806805626733e-24
POLD1,-10.3989829897598,2.50593421718139e-25,2.9765608872374e-24
KLK2,-10.6017699758747,2.92393266283279e-26,3.95543112999881e-25
PLCB4,2.25419291829298,0.0241840341142083,0.0472996972434516
SCAF4,2.66372990231376,0.00772795847003316,0.0162922760818448
RUNX1,3.01324077087274,0.0025847376022623,0.00593758119010255
TMSB4X,-10.5202129965265,6.97158035997929e-26,8.93463061923661e-25
EIF1AX,-10.8099110308761,3.08969576706084e-27,4.42553481929009e-26
RPS6KA3,-10.8844930545917,1.36656846399508e-27,2.01672376353213e-26
DMD,-10.5229331085045,6.77316191011627e-26,8.91494554115304e-25
FAM47C,-10.9115708054655,1.01487369569782e-27,1.54451090564012e-26
BCOR,-11.1287825395777,9.08680817045143e-29,1.52595709621029e-27
USP9X,-11.1974811005821,4.19491705210854e-29,7.85740232452638e-28
DDX3X,-11.1386875330499,8.13087306666505e-29,1.4141911369521e-27
KDM6A,-11.0041508651638,3.64937627316061e-28,5.73305240332005e-27
RBM10,-11.3125013703774,1.13798276962225e-29,2.4095548208958e-28
ARAF,-11.2722605029448,1.79891215885294e-29,3.50428088544552e-28
SSX1,-11.346090508506,7.75533264912889e-30,1.7167486364208e-28
SSX4,-11.346090508506,7.75533264912889e-30,1.7167486364208e-28
TFE3,-11.7148708149577,1.06954141994163e-31,3.47244447674382e-30
KDM5C,-11.494549517499,1.40512137645142e-30,3.80163394628801e-29
SMC1A,-11.6003118020755,4.10579594016903e-31,1.17618977815431e-29
HUWE1,-11.3910456697612,4.63394930789377e-30,1.12836665647213e-28
AMER1,-10.0750425996204,7.12299204851754e-24,7.54108071223487e-23
AR,-10.2174376536606,1.65661980704842e-24,1.87621824658739e-23
FOXO4,-10.0223128212251,1.21622966726539e-23,1.26022095310264e-22
MED12,-10.0016157907823,1.49930470385733e-23,1.52116956412192e-22
ZMYM3,-10.0780777749184,6.90639774224783e-24,7.47425711216598e-23
NONO,-10.0969251048706,5.70014934932497e-24,6.30902893891196e-23
TAF1,-9.99488437916266,1.60474397049724e-23,1.59491900741256e-22
ATRX,-11.1879971399377,4.66860064262093e-29,8.42077227020887e-28
DIAPH2,-11.036676637333,2.54264303309174e-28,4.12755719038559e-27
IRS4,-11.272673903127,1.79048398916774e-29,3.50428088544552e-28
ZCCHC12,-11.6298126275921,2.90735038786219e-31,8.84924774305554e-30
STAG2,-11.7998313963195,3.91094270447786e-32,1.46509930544671e-30
DCAF12L2,-11.4100079966601,3.72695052937004e-30,9.55276267264847e-29
SMARCA1,-11.7655067686398,5.87723722436282e-32,2.0444389487605e-30
BCORL1,-5.70361504765774,1.17292807324017e-08,6.89265460075778e-08
PHF6,-5.39237971062842,6.95306444061947e-08,3.8084540378384e-07
FLNA,-5.37565728908148,7.6303806854698e-08,4.08351142178439e-07
